[2022-05-04 04:11:06,456][run.py][line:113][INFO] start training on GPU 0!
[2022-05-04 04:11:06,457][run.py][line:114][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, mlp_layers=2, gnn_layers=3, emb_dim=1024, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=1, windowf=0, max_grad_norm=5.0, lr=2e-05, dropout=0.3, batch_size=64, epochs=50, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-05-04 04:13:19,616][run.py][line:154][INFO] Epoch: 1, train_loss: 0.5822, train_acc: 89.55, train_micro_fscore: 64.73, train_macro_fscore: 30.21, valid_loss: 0.3131, valid_acc: 91.06, valid_micro_fscore: 60.02, valid_macro_fscore: 36.41, test_loss: 0.5142, test_acc: 86.01, test_micro_fscore: 56.35, test_macro_fscore: 36.0, time: 65.18 sec
[2022-05-04 04:14:11,352][run.py][line:154][INFO] Epoch: 2, train_loss: 0.1682, train_acc: 94.79, train_micro_fscore: 83.01, train_macro_fscore: 55.72, valid_loss: 0.2935, valid_acc: 91.23, valid_micro_fscore: 61.24, valid_macro_fscore: 42.39, test_loss: 0.5074, test_acc: 85.92, test_micro_fscore: 56.86, test_macro_fscore: 39.56, time: 51.73 sec
[2022-05-04 04:15:01,800][run.py][line:154][INFO] Epoch: 3, train_loss: 0.1519, train_acc: 95.05, train_micro_fscore: 83.95, train_macro_fscore: 58.48, valid_loss: 0.2901, valid_acc: 91.36, valid_micro_fscore: 61.43, valid_macro_fscore: 42.99, test_loss: 0.5123, test_acc: 86.06, test_micro_fscore: 56.96, test_macro_fscore: 40.53, time: 50.45 sec
[2022-05-04 04:15:55,223][run.py][line:154][INFO] Epoch: 4, train_loss: 0.1467, train_acc: 95.05, train_micro_fscore: 84.14, train_macro_fscore: 61.39, valid_loss: 0.29, valid_acc: 91.25, valid_micro_fscore: 61.12, valid_macro_fscore: 42.98, test_loss: 0.511, test_acc: 86.12, test_micro_fscore: 57.48, test_macro_fscore: 43.36, time: 53.42 sec
[2022-05-04 04:16:45,458][run.py][line:154][INFO] Epoch: 5, train_loss: 0.1431, train_acc: 95.22, train_micro_fscore: 84.7, train_macro_fscore: 64.54, valid_loss: 0.2828, valid_acc: 91.28, valid_micro_fscore: 61.37, valid_macro_fscore: 43.43, test_loss: 0.4928, test_acc: 86.07, test_micro_fscore: 57.62, test_macro_fscore: 44.97, time: 50.23 sec
[2022-05-04 04:17:35,159][run.py][line:154][INFO] Epoch: 6, train_loss: 0.1407, train_acc: 95.28, train_micro_fscore: 84.89, train_macro_fscore: 67.89, valid_loss: 0.2929, valid_acc: 91.09, valid_micro_fscore: 61.28, valid_macro_fscore: 42.53, test_loss: 0.4937, test_acc: 86.09, test_micro_fscore: 58.29, test_macro_fscore: 46.98, time: 49.7 sec
[2022-05-04 04:18:24,710][run.py][line:154][INFO] Epoch: 7, train_loss: 0.1385, train_acc: 95.31, train_micro_fscore: 84.99, train_macro_fscore: 68.75, valid_loss: 0.2873, valid_acc: 91.13, valid_micro_fscore: 60.67, valid_macro_fscore: 41.95, test_loss: 0.4989, test_acc: 86.18, test_micro_fscore: 58.16, test_macro_fscore: 46.6, time: 49.55 sec
[2022-05-04 04:19:13,683][run.py][line:154][INFO] Epoch: 8, train_loss: 0.1365, train_acc: 95.33, train_micro_fscore: 85.12, train_macro_fscore: 71.28, valid_loss: 0.2866, valid_acc: 91.13, valid_micro_fscore: 61.15, valid_macro_fscore: 45.15, test_loss: 0.491, test_acc: 86.02, test_micro_fscore: 58.23, test_macro_fscore: 46.91, time: 48.97 sec
[2022-05-04 04:20:01,545][run.py][line:154][INFO] Epoch: 9, train_loss: 0.1357, train_acc: 95.36, train_micro_fscore: 85.19, train_macro_fscore: 73.48, valid_loss: 0.2835, valid_acc: 91.14, valid_micro_fscore: 60.88, valid_macro_fscore: 44.56, test_loss: 0.4896, test_acc: 86.09, test_micro_fscore: 57.97, test_macro_fscore: 46.29, time: 47.86 sec
[2022-05-04 04:20:51,137][run.py][line:154][INFO] Epoch: 10, train_loss: 0.1348, train_acc: 95.42, train_micro_fscore: 85.41, train_macro_fscore: 74.33, valid_loss: 0.2761, valid_acc: 91.19, valid_micro_fscore: 60.84, valid_macro_fscore: 45.07, test_loss: 0.4763, test_acc: 86.19, test_micro_fscore: 58.17, test_macro_fscore: 50.71, time: 49.59 sec
[2022-05-04 04:21:38,201][run.py][line:154][INFO] Epoch: 11, train_loss: 0.1334, train_acc: 95.43, train_micro_fscore: 85.45, train_macro_fscore: 75.44, valid_loss: 0.2798, valid_acc: 91.14, valid_micro_fscore: 61.07, valid_macro_fscore: 45.47, test_loss: 0.4855, test_acc: 86.14, test_micro_fscore: 58.26, test_macro_fscore: 52.72, time: 47.06 sec
