[2022-05-04 02:30:00,935][run.py][line:113][INFO] start training on GPU 0!
[2022-05-04 02:30:00,935][run.py][line:114][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, mlp_layers=2, gnn_layers=2, emb_dim=1024, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='EmoryNLP', windowp=1, windowf=0, max_grad_norm=5.0, lr=5e-05, dropout=0.3, batch_size=32, epochs=100, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-05-04 02:30:16,493][run.py][line:168][INFO] Epoch: 1, train_loss: 1.7744, train_acc: 56.46, train_fscore: 52.86, valid_loss: 1.7114, valid_acc: 42.49, valid_fscore: 37.27, test_loss: 1.756, test_acc: 40.96, test_fscore: 34.78, time: 7.13 sec
[2022-05-04 02:30:22,626][run.py][line:168][INFO] Epoch: 2, train_loss: 1.2427, train_acc: 68.77, train_fscore: 63.19, valid_loss: 1.6857, valid_acc: 42.49, valid_fscore: 38.46, test_loss: 1.7024, test_acc: 41.27, test_fscore: 36.23, time: 6.13 sec
[2022-05-04 02:30:29,103][run.py][line:168][INFO] Epoch: 3, train_loss: 0.9322, train_acc: 72.31, train_fscore: 69.31, valid_loss: 1.708, valid_acc: 41.0, valid_fscore: 39.61, test_loss: 1.8224, test_acc: 39.83, test_fscore: 37.94, time: 6.48 sec
[2022-05-04 02:30:35,163][run.py][line:168][INFO] Epoch: 4, train_loss: 0.872, train_acc: 73.05, train_fscore: 71.41, valid_loss: 1.8387, valid_acc: 40.4, valid_fscore: 39.28, test_loss: 1.8391, test_acc: 39.31, test_fscore: 37.7, time: 6.06 sec
[2022-05-04 02:30:41,575][run.py][line:168][INFO] Epoch: 5, train_loss: 0.8635, train_acc: 73.58, train_fscore: 72.07, valid_loss: 1.9336, valid_acc: 40.25, valid_fscore: 39.06, test_loss: 1.8465, test_acc: 39.46, test_fscore: 38.01, time: 6.41 sec
[2022-05-04 02:30:47,612][run.py][line:168][INFO] Epoch: 6, train_loss: 0.8355, train_acc: 73.62, train_fscore: 72.35, valid_loss: 1.8895, valid_acc: 40.03, valid_fscore: 38.99, test_loss: 1.8552, test_acc: 38.93, test_fscore: 37.64, time: 6.04 sec
[2022-05-04 02:30:53,301][run.py][line:168][INFO] Epoch: 7, train_loss: 0.8432, train_acc: 73.99, train_fscore: 72.9, valid_loss: 1.9469, valid_acc: 39.81, valid_fscore: 38.88, test_loss: 1.8689, test_acc: 39.31, test_fscore: 37.89, time: 5.69 sec
[2022-05-04 02:30:59,042][run.py][line:168][INFO] Epoch: 8, train_loss: 0.8511, train_acc: 74.1, train_fscore: 73.11, valid_loss: 1.9067, valid_acc: 40.77, valid_fscore: 39.7, test_loss: 1.8625, test_acc: 39.53, test_fscore: 37.98, time: 5.74 sec
[2022-05-04 02:31:04,931][run.py][line:168][INFO] Epoch: 9, train_loss: 0.8372, train_acc: 74.19, train_fscore: 73.16, valid_loss: 1.8677, valid_acc: 39.66, valid_fscore: 39.17, test_loss: 1.8571, test_acc: 39.16, test_fscore: 37.96, time: 5.89 sec
[2022-05-04 02:31:10,732][run.py][line:168][INFO] Epoch: 10, train_loss: 0.8403, train_acc: 73.74, train_fscore: 72.85, valid_loss: 1.9617, valid_acc: 40.48, valid_fscore: 39.5, test_loss: 1.8639, test_acc: 39.53, test_fscore: 38.16, time: 5.8 sec
[2022-05-04 02:31:16,585][run.py][line:168][INFO] Epoch: 11, train_loss: 0.8312, train_acc: 74.34, train_fscore: 73.4, valid_loss: 1.9116, valid_acc: 39.66, valid_fscore: 38.83, test_loss: 1.8765, test_acc: 39.61, test_fscore: 38.29, time: 5.85 sec
[2022-05-04 02:31:22,469][run.py][line:168][INFO] Epoch: 12, train_loss: 0.8196, train_acc: 74.31, train_fscore: 73.41, valid_loss: 1.8494, valid_acc: 39.73, valid_fscore: 38.9, test_loss: 1.8707, test_acc: 39.31, test_fscore: 38.09, time: 5.88 sec
[2022-05-04 02:31:28,032][run.py][line:168][INFO] Epoch: 13, train_loss: 0.8233, train_acc: 74.61, train_fscore: 73.75, valid_loss: 1.8026, valid_acc: 39.73, valid_fscore: 39.01, test_loss: 1.8664, test_acc: 39.76, test_fscore: 38.55, time: 5.56 sec
[2022-05-04 02:31:33,767][run.py][line:168][INFO] Epoch: 14, train_loss: 0.8315, train_acc: 74.33, train_fscore: 73.44, valid_loss: 1.8964, valid_acc: 40.18, valid_fscore: 39.32, test_loss: 1.8748, test_acc: 39.76, test_fscore: 38.45, time: 5.74 sec
[2022-05-04 02:31:39,421][run.py][line:168][INFO] Epoch: 15, train_loss: 0.8126, train_acc: 74.59, train_fscore: 73.69, valid_loss: 1.7213, valid_acc: 39.88, valid_fscore: 38.97, test_loss: 1.8855, test_acc: 39.53, test_fscore: 38.17, time: 5.65 sec
[2022-05-04 02:31:45,107][run.py][line:168][INFO] Epoch: 16, train_loss: 0.8116, train_acc: 74.73, train_fscore: 73.89, valid_loss: 1.9792, valid_acc: 40.03, valid_fscore: 39.32, test_loss: 1.876, test_acc: 39.46, test_fscore: 38.22, time: 5.69 sec
[2022-05-04 02:31:50,755][run.py][line:168][INFO] Epoch: 17, train_loss: 0.8141, train_acc: 74.75, train_fscore: 73.81, valid_loss: 1.8482, valid_acc: 39.81, valid_fscore: 39.14, test_loss: 1.8821, test_acc: 39.46, test_fscore: 38.25, time: 5.65 sec
[2022-05-04 02:31:56,595][run.py][line:168][INFO] Epoch: 18, train_loss: 0.8118, train_acc: 74.77, train_fscore: 73.88, valid_loss: 1.8748, valid_acc: 39.06, valid_fscore: 38.68, test_loss: 1.8795, test_acc: 39.46, test_fscore: 38.29, time: 5.84 sec
