[2022-05-04 02:23:15,738][run.py][line:113][INFO] start training on GPU 0!
[2022-05-04 02:23:15,738][run.py][line:114][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, mlp_layers=2, gnn_layers=2, emb_dim=1024, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='MELD', windowp=1, windowf=0, max_grad_norm=5.0, lr=1e-05, dropout=0.1, batch_size=64, epochs=70, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-05-04 02:23:46,153][run.py][line:168][INFO] Epoch: 1, train_loss: 1.9108, train_acc: 30.21, train_fscore: 23.25, valid_loss: 1.8878, valid_acc: 46.89, valid_fscore: 45.14, test_loss: 1.8874, test_acc: 50.38, test_fscore: 48.42, time: 18.36 sec
[2022-05-04 02:23:51,494][run.py][line:168][INFO] Epoch: 2, train_loss: 1.7585, train_acc: 80.32, train_fscore: 77.43, valid_loss: 1.7965, valid_acc: 57.53, valid_fscore: 56.84, test_loss: 1.7877, test_acc: 59.12, test_fscore: 58.26, time: 5.34 sec
[2022-05-04 02:23:56,316][run.py][line:168][INFO] Epoch: 3, train_loss: 1.6008, train_acc: 89.71, train_fscore: 88.21, valid_loss: 1.6905, valid_acc: 61.23, valid_fscore: 59.64, test_loss: 1.6729, test_acc: 62.26, test_fscore: 60.8, time: 4.82 sec
[2022-05-04 02:24:01,124][run.py][line:168][INFO] Epoch: 4, train_loss: 1.4183, train_acc: 91.9, train_fscore: 90.54, valid_loss: 1.568, valid_acc: 62.13, valid_fscore: 60.26, test_loss: 1.5383, test_acc: 63.49, test_fscore: 61.73, time: 4.81 sec
[2022-05-04 02:24:06,001][run.py][line:168][INFO] Epoch: 5, train_loss: 1.2022, train_acc: 92.63, train_fscore: 91.42, valid_loss: 1.4415, valid_acc: 62.58, valid_fscore: 60.33, test_loss: 1.3977, test_acc: 63.72, test_fscore: 61.78, time: 4.88 sec
[2022-05-04 02:24:10,878][run.py][line:168][INFO] Epoch: 6, train_loss: 0.9815, train_acc: 92.86, train_fscore: 91.71, valid_loss: 1.3349, valid_acc: 62.4, valid_fscore: 59.93, test_loss: 1.2794, test_acc: 63.87, test_fscore: 61.77, time: 4.88 sec
[2022-05-04 02:24:15,646][run.py][line:168][INFO] Epoch: 7, train_loss: 0.7891, train_acc: 92.71, train_fscore: 91.59, valid_loss: 1.2678, valid_acc: 62.85, valid_fscore: 60.28, test_loss: 1.2119, test_acc: 63.75, test_fscore: 61.56, time: 4.77 sec
[2022-05-04 02:24:20,586][run.py][line:168][INFO] Epoch: 8, train_loss: 0.6468, train_acc: 92.86, train_fscore: 91.85, valid_loss: 1.2498, valid_acc: 63.03, valid_fscore: 60.58, test_loss: 1.1886, test_acc: 63.83, test_fscore: 61.69, time: 4.94 sec
[2022-05-04 02:24:25,605][run.py][line:168][INFO] Epoch: 9, train_loss: 0.5313, train_acc: 92.96, train_fscore: 91.95, valid_loss: 1.2293, valid_acc: 63.03, valid_fscore: 60.75, test_loss: 1.1876, test_acc: 63.95, test_fscore: 62.03, time: 5.02 sec
[2022-05-04 02:24:30,372][run.py][line:168][INFO] Epoch: 10, train_loss: 0.4473, train_acc: 93.28, train_fscore: 92.43, valid_loss: 1.2285, valid_acc: 62.85, valid_fscore: 60.66, test_loss: 1.2029, test_acc: 64.14, test_fscore: 62.36, time: 4.77 sec
[2022-05-04 02:24:34,991][run.py][line:168][INFO] Epoch: 11, train_loss: 0.3723, train_acc: 93.63, train_fscore: 92.92, valid_loss: 1.2364, valid_acc: 63.03, valid_fscore: 60.97, test_loss: 1.229, test_acc: 64.25, test_fscore: 62.66, time: 4.62 sec
[2022-05-04 02:24:39,590][run.py][line:168][INFO] Epoch: 12, train_loss: 0.3255, train_acc: 94.17, train_fscore: 93.64, valid_loss: 1.2582, valid_acc: 63.12, valid_fscore: 61.32, test_loss: 1.265, test_acc: 64.21, test_fscore: 62.87, time: 4.6 sec
[2022-05-04 02:24:45,099][run.py][line:168][INFO] Epoch: 13, train_loss: 0.2848, train_acc: 94.76, train_fscore: 94.51, valid_loss: 1.2993, valid_acc: 63.39, valid_fscore: 61.96, test_loss: 1.3043, test_acc: 64.18, test_fscore: 63.02, time: 5.51 sec
[2022-05-04 02:24:49,756][run.py][line:168][INFO] Epoch: 14, train_loss: 0.2581, train_acc: 95.26, train_fscore: 95.14, valid_loss: 1.3108, valid_acc: 63.66, valid_fscore: 62.35, test_loss: 1.3446, test_acc: 63.83, test_fscore: 62.81, time: 4.66 sec
[2022-05-04 02:24:54,478][run.py][line:168][INFO] Epoch: 15, train_loss: 0.2369, train_acc: 95.65, train_fscore: 95.59, valid_loss: 1.3357, valid_acc: 63.48, valid_fscore: 62.22, test_loss: 1.3806, test_acc: 64.02, test_fscore: 63.22, time: 4.72 sec
